engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,model_year,origin,fuel_type,drivetrain,num_doors,fuel_efficiency_mpg
240,3,136,2243.691520952068,10.2,2013,USA,Diesel,Front-wheel drive,2,18.823831691830833
130,4,141,2838.747941010729,13.3,2007,USA,Gasoline,All-wheel drive,0,16.36873544856327
180,4,180,1986.4427824908344,,2011,USA,Gasoline,All-wheel drive,0,20.3838142199241
170,4,126,2066.342671940454,11.7,2020,USA,Diesel,Front-wheel drive,-2,19.311357076485475
240,5,,1820.8737660981283,13.2,2005,USA,Diesel,All-wheel drive,-2,21.442806053191937
240,1,159,2771.392226792315,17.7,2022,Europe,Diesel,All-wheel drive,1,15.531199454744357
210,2,113,2803.4197005468427,15.8,2014,Europe,Diesel,All-wheel drive,-1,15.6627313224175
270,3,154,2942.601034449063,17.1,2022,Europe,Diesel,Front-wheel drive,1,15.007972875086685
260,4,133,3056.8393110396287,17.4,2008,Europe,Diesel,All-wheel drive,0,14.22756612084751
340,3,148,2431.5896227586677,,2002,USA,Diesel,All-wheel drive,1,17.634290034368867
110,7,133,2385.7237522515015,16.3,2017,USA,Diesel,All-wheel drive,1,17.470582291536815
120,4,109,2489.428224360583,17.8,2012,Europe,Gasoline,Front-wheel drive,1,16.474120060324143
180,1,155,2866.4260011734855,13.2,2003,Europe,Gasoline,All-wheel drive,0,16.192534808562236
160,6,196,2858.7154325606157,16.8,2006,Asia,Gasoline,All-wheel drive,0,16.138145622702815
240,4,110,2986.4128410857165,21.6,2023,USA,Diesel,All-wheel drive,1,14.314549046649999
190,4,133,3925.5069117609924,17.1,2000,Asia,Gasoline,Front-wheel drive,0,10.236175734106144
250,3,148,2642.367225695948,10,2022,USA,Diesel,Front-wheel drive,-2,17.689312290094463
260,6,111,3582.774204083698,18.2,2015,USA,Diesel,Front-wheel drive,0,10.954906037501958
210,3,152,3429.1693920190837,16.8,2012,Asia,Gasoline,Front-wheel drive,1,12.919793266773631
230,3,118,2969.0506097874677,15.5,2013,Europe,Gasoline,All-wheel drive,1,14.96371429463623
110,3,152,3461.4125548995908,19.4,2003,Europe,Diesel,All-wheel drive,1,11.835500612703004
200,3,139,1733.654687611878,12.9,2022,Europe,Diesel,All-wheel drive,0,21.215411080967744
110,4,222,3989.6318950559385,10.2,2006,USA,Gasoline,Front-wheel drive,-2,10.694222537146487
190,5,122,2759.74744662664,14.6,2013,Europe,Diesel,Front-wheel drive,-1,15.290457303497131
230,2,,3640.7299919419897,13.5,2016,Europe,Gasoline,All-wheel drive,0,10.838228201369937
130,6,194,3087.1045672603655,13.2,2006,Europe,Gasoline,All-wheel drive,-3,15.673689388881288
240,0,179,2928.390984041444,16.2,2010,Asia,Diesel,Front-wheel drive,1,15.1925413931655
240,7,166,3925.5586878590752,9.8,2010,Asia,Gasoline,Front-wheel drive,0,11.781953644467873
180,4,101,2065.5431253394445,17.7,2005,Asia,Gasoline,All-wheel drive,0,19.106654789919126
140,1,72,3020.108580384754,16.9,2002,USA,Gasoline,All-wheel drive,-1,14.414130345693069
200,8,135,3141.561010952698,,2001,Europe,Diesel,All-wheel drive,0,12.956332020672727
230,3,125,3068.6365260654934,16,2018,Europe,Gasoline,All-wheel drive,0,13.238181826922967
200,5,157,2489.8232807694117,15.4,2011,USA,Diesel,Front-wheel drive,-1,17.966938699690704
110,5,132,3195.203212632137,13.2,2014,USA,Gasoline,All-wheel drive,1,14.04037370093363
200,2,232,3476.591796603671,11,2016,USA,Gasoline,All-wheel drive,1,14.674506736607647
120,5,172,3475.0045282296674,13.8,2013,USA,Diesel,All-wheel drive,,12.743223824798541
280,2,133,3398.340991866751,15.3,2015,Europe,Diesel,All-wheel drive,1,13.930128293792098
250,,109,3210.919483501148,14.6,2021,USA,Diesel,All-wheel drive,0,13.128946484301027
240,5,194,3019.8822374078773,17.5,2017,USA,Gasoline,All-wheel drive,1,14.882406411279126
240,4,176,3932.732061884642,15.5,2010,USA,Diesel,Front-wheel drive,1,10.410719931791657
240,6,165,2331.406515535685,,2015,USA,Diesel,Front-wheel drive,-1,18.901012629086203
250,6,177,2705.632696518827,10.1,2003,Asia,Gasoline,All-wheel drive,2,17.36358518579527
150,1,190,3996.1417942125117,13.1,2018,USA,Diesel,Front-wheel drive,0,10.119102319223048
140,1,166,3238.177967641373,14.9,2011,Asia,Gasoline,All-wheel drive,1,13.784027898457635
310,,103,3514.690129960512,15.7,2011,Asia,Gasoline,Front-wheel drive,0,11.745027917789637
150,4,123,3390.065057053367,17.2,2001,Europe,Diesel,Front-wheel drive,1,12.664050253023738
210,3,129,2431.8282967615232,17,2013,USA,Diesel,Front-wheel drive,1,17.386008085774705
290,4,184,3090.89413681191,16.6,2002,Asia,Gasoline,All-wheel drive,1,14.98594049869758
110,1,147,2672.437293696432,14,2006,USA,Gasoline,Front-wheel drive,0,16.962654563626934
250,2,177,2799.6167045577713,13.4,2013,Europe,Diesel,All-wheel drive,0,16.40491228582689
240,6,151,3444.2532181983206,12.1,2008,Asia,Diesel,Front-wheel drive,,13.190997221220325
180,8,137,2641.6528554910265,18.3,2018,Europe,Gasoline,All-wheel drive,0,16.613312340215607
200,2,163,3146.743143565958,13,2005,Asia,Gasoline,All-wheel drive,0,14.395615578556114
270,3,97,3158.4436102477116,11.7,2015,Europe,Gasoline,All-wheel drive,0,14.178157582977777
210,3,162,3642.4980770826865,15.6,2001,Asia,Gasoline,All-wheel drive,0,10.963506046167412
170,3,186,3320.3326781525057,11,2018,USA,Diesel,Front-wheel drive,0,14.865375998453427
280,1,104,3650.722390412526,13.3,2010,Asia,Gasoline,Front-wheel drive,1,11.342614871840736
220,2,99,3210.419881960088,14.7,2000,USA,Diesel,All-wheel drive,0,13.704305239232044
230,2,137,2859.2704254744935,15.4,2017,Asia,Gasoline,All-wheel drive,-1,15.534575330284182
190,3,132,3398.1373112791266,11.8,2008,USA,Gasoline,All-wheel drive,1,12.418218621483197
210,2,182,2703.3369108144393,,2021,USA,Gasoline,All-wheel drive,0,17.021586543663005
100,5,120,2826.2462900791475,13.7,2014,Europe,Gasoline,Front-wheel drive,0,15.251511069744547
270,6,135,2435.3611644468947,15,2006,Asia,Gasoline,Front-wheel drive,0,17.958386086087742
180,5,177,3062.5055845670486,13.6,2007,Europe,Diesel,All-wheel drive,1,14.793726761151737
200,3,143,2950.8221213345873,17.1,2013,Asia,Diesel,Front-wheel drive,-1,15.331214658436405
240,5,145,3329.4263192442004,,2022,USA,Gasoline,All-wheel drive,0,12.831510932548387
190,4,200,3080.694707350197,14,2020,Europe,Gasoline,All-wheel drive,0,14.99649771898821
140,6,189,2821.0037241823256,21.2,2014,USA,Gasoline,Front-wheel drive,0,15.667962277800497
200,3,167,3030.4471440781385,16.5,2012,Europe,Diesel,All-wheel drive,0,15.196812924261454
180,5,164,3011.935745333787,13.5,2018,Asia,Gasoline,All-wheel drive,0,15.519705640049803
200,4,123,2842.992310766458,15.7,2010,Asia,Gasoline,Front-wheel drive,3,15.172158285749552
110,4,149,2686.2920420207847,13.9,2011,Asia,Diesel,All-wheel drive,0,16.54995387725934
140,4,191,2599.007718544653,15.7,2009,Europe,Gasoline,All-wheel drive,1,17.469316960081535
90,1,148,2528.3479461904435,11.9,2002,Asia,Diesel,Front-wheel drive,1,17.540475740681295
170,4,153,3678.720747386177,15.8,2022,Asia,Gasoline,Front-wheel drive,-1,11.353188504588237
210,,195,3073.656145330289,12.9,2001,USA,Gasoline,Front-wheel drive,1,14.846456488308398
220,,96,3067.9510714224807,17.8,2005,Europe,Gasoline,All-wheel drive,1,14.193803648855138
190,2,152,2375.7961705649936,10.3,2014,Europe,Gasoline,All-wheel drive,1,18.645561424313144
260,6,127,2972.5966697819536,19.6,2009,USA,Diesel,Front-wheel drive,2,14.197881595983631
110,1,,3879.8204315564744,14.3,2020,USA,Gasoline,All-wheel drive,,10.33731152134293
170,5,122,2675.1259602542978,,2016,USA,Gasoline,Front-wheel drive,0,16.25498101242529
240,2,,2768.167545158817,18.7,2020,Europe,Gasoline,Front-wheel drive,1,15.421865641326615
200,5,181,3100.2165515995666,17.5,2018,USA,Gasoline,Front-wheel drive,-1,14.470139497478241
260,2,200,2216.540197957567,15,2016,Asia,Gasoline,All-wheel drive,1,18.841960135846293
80,1,193,3411.602985817675,10.5,2020,USA,Gasoline,All-wheel drive,0,13.65143153147079
210,,123,2701.494864764436,20.5,2016,Europe,Gasoline,All-wheel drive,-2,15.424736618884307
170,1,181,2671.2242376289846,19.6,2010,Europe,Gasoline,Front-wheel drive,1,16.3693072711133
310,7,97,2837.600275479973,14.8,2006,USA,Gasoline,All-wheel drive,-2,15.352222413298646
240,,156,3176.7542563822444,12.1,2014,Europe,Gasoline,Front-wheel drive,-2,13.900224938553865
160,2,194,2798.569232678463,13,2015,USA,Diesel,All-wheel drive,-1,16.469556287901753
190,2,179,3953.311649204393,15.6,2003,Asia,Diesel,Front-wheel drive,0,10.188722574984988
220,1,128,3388.183705004871,11.2,2004,Europe,Diesel,Front-wheel drive,1,12.962764497645237
310,0,159,2376.284548972947,,2005,Asia,Diesel,All-wheel drive,-1,17.863914553778507
140,4,172,3966.299770850817,14.3,2014,Asia,Gasoline,All-wheel drive,-1,9.984908640845253
180,4,191,3427.6705807257467,19.3,2004,USA,Gasoline,All-wheel drive,-1,13.178823178208138
220,1,139,2577.120411484481,15.1,2007,Asia,Diesel,Front-wheel drive,0,17.390924993136817
180,5,71,3809.2002806707346,10.9,2015,USA,Diesel,Front-wheel drive,,10.77868732348475
120,7,,2846.3716423519236,13.6,2008,Europe,Diesel,Front-wheel drive,-1,15.901727776131771
260,4,168,2888.7266943869013,17.3,2022,Europe,Diesel,All-wheel drive,-2,16.087246679961126
140,8,130,2403.181129982779,15,2020,Asia,Diesel,Front-wheel drive,-1,17.798755253041886
220,6,170,2374.4828658875795,16.8,2015,Asia,Diesel,Front-wheel drive,1,18.357378387890183
140,3,130,3430.301837840579,19.1,2007,Europe,Gasoline,Front-wheel drive,-1,12.148450271780602
200,5,,2576.7241754638226,14.4,2006,USA,Diesel,All-wheel drive,-1,17.34526560912104
240,4,159,2773.9240907742733,18.3,2020,Europe,Diesel,Front-wheel drive,-1,15.601223133198223
210,3,133,2913.1824950552814,12,2001,Europe,Diesel,All-wheel drive,1,14.757738350133856
200,5,150,3965.339213908783,12,2018,Asia,Gasoline,All-wheel drive,0,10.465232689090865
150,4,192,2824.478265006889,13.8,2002,Asia,Diesel,All-wheel drive,2,16.696031085278673
200,3,135,2657.524923605972,,2019,Europe,Gasoline,Front-wheel drive,-1,17.0545162706995
190,1,190,2994.8751905870145,15.2,2018,Europe,Gasoline,All-wheel drive,-2,16.096701972790964
210,,126,2996.8027928658603,14.6,2009,Europe,Gasoline,Front-wheel drive,1,14.933980338499737
200,8,217,2156.3676639373502,16.7,2012,Asia,Gasoline,Front-wheel drive,1,19.442473480309197
200,2,147,4043.595771631228,16.2,2014,Asia,Gasoline,All-wheel drive,1,9.957139470311276
230,3,172,2697.423182331291,16.1,2011,Asia,Diesel,All-wheel drive,2,16.75466934147011
230,1,139,2992.3829395474777,13.1,2012,USA,Diesel,Front-wheel drive,1,15.810960056530352
150,3,176,2286.930129247111,13.7,2004,Europe,Gasoline,All-wheel drive,0,19.312658535626483
240,,120,3450.59314322959,14.3,2023,Asia,Diesel,All-wheel drive,1,12.895396757676426
220,2,112,3301.553275456787,,2019,Europe,Gasoline,Front-wheel drive,,13.546385082711314
170,9,177,3886.1866687112074,18.3,2009,USA,Diesel,All-wheel drive,-2,10.577865420345667
120,6,137,3668.9855422177234,16.7,2008,Europe,Gasoline,All-wheel drive,-2,11.581257181965942
240,3,160,3858.656702366004,10.4,2013,USA,Gasoline,All-wheel drive,0,10.826352942342915
170,7,155,2477.692722820394,16.2,2000,USA,Diesel,Front-wheel drive,-1,16.932948440566346
200,2,220,3296.271708281133,14.3,2005,Europe,Gasoline,All-wheel drive,-1,14.406190944540866
110,6,185,2699.5969876883237,17.7,2004,USA,Diesel,All-wheel drive,1,16.764266483624212
140,9,83,3007.3271482865844,16.6,2022,Asia,Diesel,All-wheel drive,1,13.991309283118838
210,6,101,2725.9192226806317,11.6,2015,Asia,Diesel,Front-wheel drive,0,16.003261680782987
310,3,177,3642.97053921638,16,2007,USA,Gasoline,All-wheel drive,-1,10.865296360425452
220,,124,2519.1958229261973,,2010,USA,Diesel,All-wheel drive,-1,17.219835993936357
230,4,141,4116.351836187175,17.9,2009,USA,Diesel,Front-wheel drive,2,9.166316193643121
330,2,,3320.0229499658294,15.5,2016,Europe,Diesel,Front-wheel drive,0,12.309909134728498
190,3,161,3254.925525863878,18.6,2007,Asia,Diesel,Front-wheel drive,0,12.805813109081539
160,5,185,2925.8835946322506,16,2022,Asia,Gasoline,All-wheel drive,1,15.551863923622783
140,4,169,3325.3748630868536,16.4,2013,Europe,Gasoline,All-wheel drive,0,14.191660501155042
230,3,98,3712.8099901535356,14.7,2000,Europe,Diesel,All-wheel drive,0,11.01043701295423
240,7,117,2785.3378616596187,14.4,2010,Europe,Gasoline,Front-wheel drive,0,15.741152017701786
170,8,,3383.8670882512283,15.9,2008,Europe,Diesel,Front-wheel drive,-1,13.439791190841234
150,2,172,3270.1340110427836,9.5,2008,Europe,Gasoline,All-wheel drive,0,13.969112297500919
160,2,122,3047.4465965311597,18.7,2007,Europe,Diesel,All-wheel drive,,14.35817135096865
220,2,174,2446.6949871327843,15,2009,Asia,Gasoline,All-wheel drive,2,18.439731427933378
230,4,134,3066.341811364545,17.1,2006,Europe,Gasoline,All-wheel drive,-2,14.288481033881608
170,3,135,2750.851077285825,16.9,2020,Asia,Gasoline,All-wheel drive,0,16.432156339924635
270,2,157,2015.659283715203,17.3,2009,Europe,Diesel,All-wheel drive,0,19.63806157259075
230,3,172,2940.3772671655165,14.7,2002,Asia,Gasoline,All-wheel drive,-1,15.130734018215115
130,3,163,2249.12909153009,,2006,Europe,Gasoline,All-wheel drive,1,19.1469557951747
150,3,80,3504.248301935137,14.5,2019,Asia,Gasoline,All-wheel drive,1,12.126609117663138
190,2,184,2904.5579064942285,15.9,2003,USA,Diesel,All-wheel drive,0,15.651528754229046
190,5,92,3421.9638526794047,15.8,2014,Europe,Diesel,Front-wheel drive,-1,12.285139595920356
170,5,158,3799.096198199624,14.5,2020,Asia,Gasoline,All-wheel drive,-1,11.022729129417908
120,12,165,2990.881339172087,13.3,2013,USA,Gasoline,Front-wheel drive,1,15.258743593726928
160,6,179,3791.505087854457,13.7,2008,Asia,Gasoline,All-wheel drive,0,12.175115129232339
190,1,115,2902.7860167043414,14.2,2011,Asia,Diesel,Front-wheel drive,,14.974771455703404
110,4,,2567.5508144585383,18.4,2018,Asia,Gasoline,Front-wheel drive,1,15.840718257146316
170,3,182,2593.095054677401,13.1,2014,Asia,Diesel,All-wheel drive,0,17.932349026260564
170,5,146,3484.304166715797,16.6,2012,Asia,Diesel,Front-wheel drive,-1,11.95483106838749
110,7,160,2826.8428574305713,8.8,2002,Europe,Diesel,All-wheel drive,0,17.065596922781754
130,8,162,2670.3354124789794,15.2,2013,USA,Diesel,Front-wheel drive,1,16.760242638352906
130,1,168,2948.80065582089,16.1,2014,Europe,Gasoline,Front-wheel drive,1,15.55693691207639
80,6,150,3294.7486328781056,15.2,2020,Asia,Gasoline,All-wheel drive,2,13.572634429616706
240,1,129,3227.1736723512636,16.1,2022,Asia,Diesel,All-wheel drive,0,13.42298531291123
170,3,145,3054.5491597799173,17.9,2022,Europe,Diesel,All-wheel drive,0,14.765343878316486
160,8,160,3513.768885984202,12.8,2008,USA,Gasoline,All-wheel drive,0,12.436712722226485
130,1,121,3139.6913546352484,18.8,2009,Europe,Gasoline,Front-wheel drive,1,13.888749992290835
160,4,214,2871.1034177497727,13.4,2002,Asia,Gasoline,Front-wheel drive,2,16.74919072037798
190,7,186,3089.7469511561962,13.8,2020,Asia,Gasoline,All-wheel drive,1,15.283297010033813
190,1,130,2322.856317807375,19.4,2022,Europe,Diesel,Front-wheel drive,0,17.9208494892752
190,2,94,3292.080030820942,14.9,2017,Asia,Diesel,All-wheel drive,-2,13.215203826775971
110,5,126,2958.596423012351,16,2004,Europe,Gasoline,Front-wheel drive,2,15.108471830566566
210,,,3136.11861478225,15.3,2004,USA,Gasoline,Front-wheel drive,0,13.731613925828722
140,2,185,3362.8591225326704,16.4,2018,Asia,Gasoline,All-wheel drive,1,13.460320229124333
170,5,165,1973.4679344868193,14.4,2016,Europe,Diesel,Front-wheel drive,2,20.256124932320088
190,3,90,3603.4941487959504,17.1,2016,Europe,Diesel,All-wheel drive,1,11.542828312651936
140,0,108,2912.716544712457,12,2001,Asia,Diesel,All-wheel drive,1,15.00153266810731
160,2,134,2963.890461496888,13.5,2001,Europe,Diesel,Front-wheel drive,2,14.642639234669165
160,2,134,3510.850707854016,18.2,2015,USA,Gasoline,All-wheel drive,1,12.256453172126417
200,3,210,3053.1361675891053,15.1,2011,USA,Gasoline,All-wheel drive,1,15.609537289892208
140,3,,3401.3576914516843,14.6,2016,USA,Gasoline,Front-wheel drive,-1,12.639721454099165
140,,126,2984.1356459107633,14,2022,Asia,Diesel,All-wheel drive,0,14.750993966506396
250,4,156,3854.6241598747297,20.6,2020,USA,Diesel,Front-wheel drive,-1,9.846968421529322
310,3,96,2579.5565056072155,17,2021,USA,Gasoline,All-wheel drive,0,16.40056550186383
190,5,90,3586.3215690955058,14.2,2022,Asia,Gasoline,All-wheel drive,0,11.631184815880026
310,10,83,2680.4074656506486,18.3,2005,Europe,Diesel,All-wheel drive,1,15.609664460295667
150,2,92,2880.4549736629774,13.7,2012,USA,Diesel,Front-wheel drive,1,14.804039524061036
190,5,160,2780.464846009056,,2001,Asia,Gasoline,Front-wheel drive,0,16.386913622300682
220,6,110,3745.8460030544384,17.3,2015,USA,Diesel,Front-wheel drive,,10.69877310575774
180,7,112,2154.5246093366613,17.3,2018,Asia,Gasoline,Front-wheel drive,-1,18.848790913668395
210,5,132,2783.162465819864,14.9,2012,Europe,Diesel,All-wheel drive,0,16.20678395349986
170,3,164,2990.040916716882,9.7,2019,Europe,Diesel,Front-wheel drive,0,15.963018865529914
130,1,138,3458.198702562361,9.6,2018,Europe,Diesel,All-wheel drive,2,13.4812375239162
290,10,198,3171.1407250109505,16.5,2019,USA,Gasoline,All-wheel drive,1,14.477468854374118
220,4,147,2669.7018858719066,13.5,2015,Asia,Gasoline,Front-wheel drive,1,16.549890847131095
270,4,138,2714.536778771385,15,2002,Asia,Diesel,All-wheel drive,-1,16.306775111249312
180,3,133,2581.4046084322435,13.8,2014,USA,Diesel,All-wheel drive,2,16.466021212444875
210,3,100,2917.6120216004215,16,2019,Europe,Gasoline,All-wheel drive,1,15.39679598399251
280,5,112,3319.8965492982225,18.2,2015,Europe,Diesel,Front-wheel drive,2,12.906637258347159
120,,175,3079.478438351866,11.7,2007,Europe,Gasoline,All-wheel drive,,14.773140999794514
230,3,109,2633.3667848767755,15.7,2000,Europe,Gasoline,Front-wheel drive,0,16.355374852312472
220,3,149,3455.3884787131788,,2003,Asia,Diesel,Front-wheel drive,-1,12.574482348737936
290,2,179,2807.1729378476857,15.5,2019,USA,Diesel,All-wheel drive,0,15.79852539736033
230,3,,2623.0250982671937,,2004,USA,Gasoline,Front-wheel drive,0,16.885037361393177
190,4,183,3168.684046784446,17.8,2002,Asia,Gasoline,Front-wheel drive,-1,14.518770435482049
260,3,126,3097.007834861726,13.9,2005,USA,Diesel,Front-wheel drive,0,14.988190287130637
210,4,187,2787.0769340424845,17.9,2003,Europe,Diesel,Front-wheel drive,0,16.422447651517537
240,9,152,3621.3584313053366,15.2,2006,Europe,Gasoline,All-wheel drive,0,12.715355054129684
220,3,190,3464.62683210765,16.1,2001,Asia,Gasoline,All-wheel drive,0,13.65965655590136
180,8,148,2422.530482701861,12.8,2010,USA,Diesel,Front-wheel drive,2,18.07554317152856
160,10,190,2867.1210989978426,17.7,2003,Asia,Gasoline,Front-wheel drive,1,15.806511850079655
260,4,149,2934.056297569357,15.7,2006,USA,Gasoline,Front-wheel drive,-2,14.664216612284108
240,4,140,2425.932315011492,11.3,2022,USA,Diesel,Front-wheel drive,0,18.364945214338704
180,6,173,3240.2934229764487,18.8,2001,Europe,Gasoline,Front-wheel drive,-2,13.511031307075285
240,4,95,3743.6971591412007,15.5,2014,Europe,Diesel,All-wheel drive,0,10.606547717012038
280,3,,3086.3316671279053,14.5,2012,Europe,Gasoline,All-wheel drive,1,14.490224194211828
240,5,123,3611.073982040467,14.3,2007,Europe,Diesel,All-wheel drive,1,11.771411141621616
130,2,136,3333.7338628696807,21.8,2013,Asia,Diesel,Front-wheel drive,0,12.346532354070137
180,3,140,2951.5318323530128,17.6,2003,Asia,Gasoline,All-wheel drive,-1,14.744511937755272
200,7,199,2927.875023329272,17.9,2011,Europe,Gasoline,All-wheel drive,-1,15.169111817411077
110,4,127,3273.610751625405,19.3,2009,Asia,Diesel,Front-wheel drive,1,12.38940503795111
270,4,129,2606.5728217881688,15,2012,Europe,Gasoline,All-wheel drive,0,17.21720773244218
200,3,122,3114.013495660735,15.5,2006,Asia,Diesel,Front-wheel drive,1,14.034147826649265
260,6,155,3256.556022379917,14.7,2014,Asia,Gasoline,All-wheel drive,,13.638998563283351
220,0,165,3065.284242689174,,2023,Asia,Diesel,All-wheel drive,-1,14.42583219707705
170,2,145,3046.770802455745,18.6,2005,Asia,Diesel,Front-wheel drive,-1,14.545581937899787
250,5,155,3303.776901781832,12.7,2005,Asia,Diesel,Front-wheel drive,,13.351128293152257
190,2,142,3823.0717737140503,15.2,2015,USA,Diesel,All-wheel drive,0,10.618651664899772
