lead_source,industry,number_of_courses_viewed,annual_income,employment_status,location,interaction_count,lead_score,converted
events,healthcare,4,82646,self_employed,australia,3,0.35,1
organic_search,technology,2,73466,student,north_america,3,0.0,1
organic_search,technology,2,68248,student,south_america,2,0.58,0
social_media,healthcare,0,69667,employed,europe,3,0.22,0
paid_ads,technology,3,56986,self_employed,australia,2,0.74,1
paid_ads,healthcare,1,54032,self_employed,north_america,0,0.91,0
events,,3,,unemployed,europe,3,0.08,1
paid_ads,education,1,67902,employed,africa,3,0.7,1
events,manufacturing,3,65980,student,south_america,6,0.95,1
social_media,other,2,45202,student,asia,2,0.68,1
social_media,healthcare,4,,student,europe,1,0.05,1
organic_search,finance,1,65285,student,europe,5,0.5,1
paid_ads,other,2,,unemployed,north_america,4,0.18,0
,education,1,26854,,north_america,0,0.55,0
referral,,1,54924,student,south_america,6,0.39,1
referral,manufacturing,4,60127,self_employed,north_america,7,0.3,1
social_media,retail,0,70725,unemployed,australia,2,0.41,0
social_media,education,3,77009,self_employed,middle_east,3,0.99,1
referral,technology,0,59695,unemployed,europe,4,0.97,0
events,education,1,90707,unemployed,australia,5,0.45,1
events,healthcare,3,60375,student,australia,9,0.3,1
paid_ads,finance,3,56673,employed,africa,1,0.62,0
paid_ads,healthcare,5,65374,unemployed,australia,6,0.61,1
organic_search,finance,2,44084,employed,africa,2,0.42,0
organic_search,healthcare,1,62672,student,north_america,5,0.94,1
organic_search,other,5,68954,unemployed,asia,2,0.62,1
referral,manufacturing,1,76106,employed,africa,7,0.2,1
events,other,3,83584,employed,australia,2,0.35,1
events,education,2,70816,unemployed,australia,2,0.89,1
events,healthcare,2,84672,self_employed,,3,0.76,1
paid_ads,education,1,71490,unemployed,,3,0.33,0
social_media,finance,3,71412,student,asia,1,0.57,1
social_media,healthcare,3,,student,europe,2,0.57,1
social_media,,1,64745,,europe,6,0.82,1
paid_ads,retail,2,47018,,middle_east,1,0.08,0
paid_ads,technology,3,78148,employed,middle_east,2,0.8,1
organic_search,manufacturing,1,,self_employed,australia,0,0.04,0
organic_search,technology,3,71969,,europe,4,0.83,1
paid_ads,manufacturing,0,64593,unemployed,europe,2,0.25,0
social_media,healthcare,4,64709,employed,asia,3,0.21,1
paid_ads,healthcare,0,,unemployed,north_america,5,0.86,0
paid_ads,healthcare,4,63165,self_employed,africa,3,0.4,0
events,technology,1,70889,employed,asia,4,0.61,1
,technology,3,,unemployed,north_america,5,0.55,1
organic_search,manufacturing,4,36808,employed,europe,4,0.24,1
referral,education,1,58977,employed,africa,4,0.56,1
paid_ads,healthcare,3,,unemployed,europe,3,0.01,0
referral,finance,2,67321,employed,south_america,3,0.02,1
social_media,retail,2,82516,unemployed,south_america,2,0.7,0
,healthcare,3,42646,student,south_america,1,0.5,1
social_media,finance,2,68468,self_employed,north_america,3,0.17,0
referral,finance,1,33790,self_employed,north_america,2,0.88,1
referral,technology,1,52035,unemployed,middle_east,4,0.72,1
organic_search,healthcare,3,34076,unemployed,europe,3,0.64,1
social_media,finance,0,65044,self_employed,africa,5,0.53,1
,,2,82556,self_employed,africa,4,0.48,1
paid_ads,other,5,55751,self_employed,south_america,2,0.24,1
referral,other,1,84678,,south_america,2,0.76,0
organic_search,finance,0,85967,self_employed,south_america,7,0.39,1
paid_ads,healthcare,3,40662,unemployed,asia,2,0.76,0
paid_ads,finance,1,31353,employed,africa,4,0.75,1
events,manufacturing,4,69963,student,north_america,3,0.18,1
referral,,3,30615,employed,south_america,2,0.55,1
organic_search,finance,1,88572,employed,asia,3,0.03,1
paid_ads,other,2,65488,self_employed,asia,4,0.21,1
organic_search,technology,2,46007,unemployed,south_america,1,0.09,0
social_media,retail,2,,student,,7,0.51,1
paid_ads,education,1,88596,employed,australia,4,0.71,1
organic_search,education,1,66553,self_employed,asia,7,0.71,1
organic_search,,2,40996,unemployed,north_america,1,0.04,0
paid_ads,finance,2,,self_employed,europe,2,0.49,0
social_media,other,3,53615,unemployed,australia,2,0.21,1
events,,1,76293,unemployed,australia,3,0.76,0
organic_search,,2,49316,unemployed,middle_east,2,0.34,0
paid_ads,other,2,64305,unemployed,middle_east,3,0.87,1
referral,healthcare,2,50411,self_employed,europe,3,0.46,1
social_media,education,8,,employed,north_america,1,0.35,1
paid_ads,healthcare,5,43878,unemployed,africa,3,0.13,1
,technology,1,67164,student,,3,0.38,1
social_media,technology,3,43675,student,south_america,0,0.92,1
organic_search,technology,0,65974,self_employed,south_america,3,0.29,0
referral,finance,2,42213,,australia,2,0.37,0
organic_search,other,1,62569,unemployed,south_america,5,0.37,1
social_media,healthcare,2,77534,student,south_america,1,0.78,0
paid_ads,manufacturing,1,42277,self_employed,north_america,3,0.27,0
events,manufacturing,1,37995,student,africa,4,0.4,0
events,finance,2,51245,employed,middle_east,2,0.53,1
social_media,technology,0,18319,student,middle_east,2,0.92,0
organic_search,healthcare,2,51338,student,south_america,3,0.03,0
organic_search,,1,16132,self_employed,africa,2,0.47,0
organic_search,healthcare,2,66974,student,asia,6,0.08,1
events,,1,72608,student,middle_east,3,0.4,0
paid_ads,retail,1,61392,unemployed,europe,1,0.78,0
social_media,technology,6,,unemployed,africa,4,0.06,1
organic_search,education,3,62120,student,europe,6,0.95,1
organic_search,manufacturing,3,66207,unemployed,australia,4,0.49,1
organic_search,retail,1,,student,australia,3,0.09,0
organic_search,technology,3,,employed,asia,5,0.16,1
organic_search,,2,89867,student,south_america,4,0.31,1
social_media,finance,3,67844,self_employed,asia,4,0.6,1
paid_ads,finance,1,,unemployed,europe,3,0.96,0
social_media,,2,26927,employed,africa,2,0.14,0
,finance,1,70658,student,asia,5,0.49,0
,technology,1,43074,unemployed,south_america,1,0.68,0
organic_search,retail,0,94165,unemployed,south_america,2,0.76,0
organic_search,,4,54032,employed,north_america,0,0.35,1
events,technology,2,53037,self_employed,,0,0.15,0
events,retail,3,45170,student,middle_east,3,0.38,1
paid_ads,healthcare,2,67782,self_employed,europe,4,0.81,1
paid_ads,retail,2,84952,employed,south_america,2,0.04,0
organic_search,technology,1,65532,,middle_east,2,0.68,0
organic_search,retail,0,53776,unemployed,south_america,1,0.88,0
paid_ads,technology,3,43685,employed,asia,2,0.16,1
,manufacturing,3,62630,self_employed,south_america,3,0.18,1
referral,technology,2,76723,employed,north_america,3,0.49,1
paid_ads,retail,2,,self_employed,africa,1,0.09,0
events,retail,2,86827,student,australia,3,0.37,1
social_media,manufacturing,2,80275,employed,africa,3,0.82,1
social_media,healthcare,3,,self_employed,africa,2,0.36,0
social_media,education,2,53470,student,north_america,3,0.63,1
organic_search,technology,7,95450,,south_america,1,0.58,1
social_media,other,0,38704,employed,australia,1,0.74,0
referral,healthcare,3,64948,unemployed,africa,6,0.2,1
paid_ads,other,4,38718,self_employed,south_america,1,0.28,0
events,education,2,54183,student,south_america,1,0.78,1
paid_ads,other,2,51952,self_employed,asia,6,0.63,1
social_media,healthcare,1,78083,student,north_america,5,0.15,1
events,other,1,54163,unemployed,middle_east,4,0.62,0
events,manufacturing,5,51847,unemployed,africa,3,0.79,1
referral,retail,1,40519,employed,asia,6,0.44,1
,,2,70856,employed,,3,0.43,1
paid_ads,manufacturing,1,39805,unemployed,north_america,4,0.54,0
social_media,manufacturing,2,48470,,asia,0,0.04,0
social_media,retail,2,64070,student,asia,2,0.92,1
referral,technology,2,62075,self_employed,north_america,5,0.36,1
referral,manufacturing,3,62607,employed,asia,4,0.11,1
events,other,2,53087,employed,europe,2,0.52,0
organic_search,other,2,,,europe,4,0.9,1
referral,technology,1,,employed,europe,2,0.11,1
referral,healthcare,0,,employed,south_america,5,0.53,1
paid_ads,retail,1,69044,unemployed,asia,1,0.58,0
referral,technology,3,62492,self_employed,asia,1,0.44,1
social_media,finance,4,81443,self_employed,north_america,4,0.51,1
social_media,education,1,42754,self_employed,africa,3,0.58,1
organic_search,finance,2,63856,self_employed,north_america,2,0.48,0
events,education,3,61657,unemployed,australia,0,0.38,0
referral,other,5,,self_employed,middle_east,4,0.8,1
,retail,5,37213,student,middle_east,2,0.95,1
social_media,finance,0,,unemployed,africa,3,0.73,0
social_media,technology,2,99009,self_employed,middle_east,3,0.8,1
events,,1,,employed,,1,0.66,0
,education,3,70277,,asia,2,0.9,1
organic_search,education,2,,,asia,2,0.33,1
paid_ads,other,1,56959,unemployed,,1,0.33,0
social_media,other,1,79115,employed,north_america,5,0.84,1
,,1,67783,unemployed,,3,0.14,0
social_media,manufacturing,2,66836,self_employed,europe,4,0.18,1
referral,finance,3,64877,unemployed,europe,1,0.53,1
organic_search,finance,3,51789,self_employed,north_america,1,0.18,0
events,finance,5,69397,student,middle_east,3,0.31,1
referral,healthcare,2,,student,europe,5,0.91,1
referral,healthcare,0,75911,,middle_east,4,0.17,1
social_media,education,1,77629,unemployed,north_america,4,0.03,0
social_media,finance,4,41674,employed,africa,2,0.67,1
organic_search,manufacturing,2,51367,self_employed,africa,3,0.66,1
organic_search,other,0,77673,employed,middle_east,6,0.16,1
social_media,,2,53728,unemployed,south_america,0,0.88,0
social_media,finance,2,,unemployed,middle_east,7,0.52,1
organic_search,other,1,82602,self_employed,australia,2,0.11,0
paid_ads,retail,1,46393,unemployed,south_america,4,0.7,0
social_media,healthcare,2,50327,student,north_america,1,0.88,1
paid_ads,finance,3,27580,employed,middle_east,1,0.98,1
paid_ads,technology,0,76490,self_employed,,2,0.04,0
events,technology,1,,employed,asia,2,0.18,0
paid_ads,education,4,62099,self_employed,middle_east,3,0.45,1
paid_ads,retail,1,90569,employed,australia,4,0.52,1
social_media,manufacturing,1,64210,,north_america,4,0.68,1
events,retail,0,82547,unemployed,africa,4,0.94,0
paid_ads,education,2,,unemployed,north_america,2,0.97,0
paid_ads,other,3,76502,student,south_america,2,0.42,1
social_media,education,3,56928,student,south_america,2,0.84,1
events,other,3,69161,self_employed,north_america,0,0.99,1
paid_ads,healthcare,1,34806,employed,europe,4,0.32,1
social_media,retail,2,22876,unemployed,europe,4,0.17,0
referral,retail,1,50043,self_employed,australia,2,0.14,0
organic_search,,3,,employed,europe,1,0.59,1
social_media,retail,4,50961,student,south_america,1,1.0,1
social_media,finance,4,82144,self_employed,africa,0,0.6,1
social_media,finance,2,61982,self_employed,africa,5,0.4,1
paid_ads,education,1,57600,self_employed,africa,6,0.87,1
events,finance,0,42104,unemployed,asia,2,0.97,1
social_media,finance,0,66358,employed,middle_east,3,0.52,0
social_media,,2,39940,student,australia,2,0.57,0
events,retail,0,51946,unemployed,africa,3,0.42,0
organic_search,technology,2,61686,employed,middle_east,5,0.53,1
referral,finance,2,101567,unemployed,south_america,3,0.36,1
organic_search,manufacturing,3,41422,employed,north_america,3,0.66,1
referral,other,1,66890,self_employed,middle_east,4,0.53,1
referral,education,1,55199,employed,south_america,4,0.09,1
paid_ads,,2,28645,self_employed,south_america,2,0.52,1
organic_search,education,2,61872,student,australia,1,0.01,0
referral,healthcare,3,77326,self_employed,africa,1,0.48,1
paid_ads,finance,3,,self_employed,south_america,3,0.47,0
social_media,finance,3,99164,student,south_america,3,0.01,1
paid_ads,technology,1,49828,employed,asia,1,0.24,0
referral,education,2,58777,,north_america,0,0.94,1
paid_ads,retail,6,62912,unemployed,middle_east,4,0.19,1
events,retail,1,44359,employed,middle_east,1,0.07,0
organic_search,healthcare,2,60754,unemployed,europe,2,0.53,0
events,retail,5,69783,unemployed,north_america,4,0.52,1
organic_search,finance,2,68945,unemployed,north_america,5,0.54,1
referral,technology,4,51849,self_employed,africa,3,0.13,1
events,healthcare,3,48700,student,europe,3,0.21,1
referral,retail,3,60051,self_employed,australia,6,0.57,1
referral,finance,1,59355,student,south_america,2,0.64,0
,manufacturing,1,50616,unemployed,europe,5,0.63,1
referral,retail,1,58973,employed,africa,2,0.29,0
organic_search,,2,34445,student,south_america,7,0.95,1
paid_ads,retail,4,79894,student,middle_east,6,0.92,1
organic_search,education,3,69033,self_employed,north_america,1,0.43,1
events,manufacturing,1,37117,self_employed,south_america,0,0.47,0
organic_search,education,5,64274,self_employed,australia,2,0.66,1
paid_ads,manufacturing,2,56601,unemployed,africa,2,0.79,0
paid_ads,healthcare,1,54023,unemployed,,4,0.52,0
paid_ads,other,1,62935,self_employed,europe,4,0.18,1
,technology,2,72567,employed,south_america,2,0.98,1
social_media,technology,2,38395,student,north_america,7,0.82,1
events,manufacturing,1,54467,self_employed,asia,3,0.03,0
paid_ads,manufacturing,0,89493,student,south_america,5,0.08,0
referral,retail,4,82408,employed,africa,1,0.51,1
paid_ads,education,1,39740,self_employed,north_america,6,0.97,1
social_media,education,3,52937,unemployed,australia,3,0.45,1
organic_search,technology,1,50625,unemployed,north_america,4,0.49,0
,other,1,45754,self_employed,north_america,5,0.42,1
paid_ads,manufacturing,1,44369,employed,middle_east,2,0.39,0
referral,other,3,31321,student,asia,1,0.71,0
organic_search,,3,67353,employed,europe,3,0.34,1
,retail,1,27998,unemployed,europe,2,0.59,0
organic_search,education,1,41268,student,,2,0.6,1
events,finance,2,89571,unemployed,australia,2,0.29,0
social_media,technology,4,73190,unemployed,africa,3,0.56,1
organic_search,healthcare,3,62595,employed,north_america,1,0.05,0
events,manufacturing,4,62897,student,europe,5,0.83,1
social_media,technology,0,59878,unemployed,europe,4,0.85,0
social_media,other,3,63730,unemployed,australia,0,0.08,0
referral,finance,4,59084,employed,asia,2,0.28,1
paid_ads,other,1,64281,self_employed,asia,6,0.92,1
events,technology,2,,unemployed,middle_east,3,0.53,1
,,0,58365,employed,africa,3,0.95,0
organic_search,healthcare,2,32039,self_employed,asia,2,0.05,0
events,technology,2,,self_employed,asia,1,0.27,1
referral,technology,1,53368,employed,,3,0.41,1
social_media,other,0,70229,student,europe,3,0.28,0
paid_ads,manufacturing,1,48334,employed,middle_east,4,0.0,0
referral,retail,5,59056,employed,europe,3,0.16,1
organic_search,finance,1,,student,north_america,3,0.67,0
organic_search,finance,1,75598,employed,,3,0.85,1
organic_search,other,3,57583,student,asia,5,0.6,1
referral,retail,0,,,north_america,0,0.28,0
referral,education,2,47912,employed,australia,1,0.04,0
social_media,finance,4,61892,student,north_america,2,0.55,1
events,finance,3,41689,student,south_america,3,0.99,1
social_media,finance,0,39021,employed,middle_east,0,0.32,0
,education,2,73337,self_employed,asia,3,0.82,1
organic_search,education,2,66789,self_employed,africa,2,0.85,1
organic_search,healthcare,0,55491,self_employed,africa,3,0.41,0
referral,finance,0,,employed,middle_east,2,0.93,1
paid_ads,education,2,31817,unemployed,australia,1,0.82,0
events,manufacturing,2,47777,unemployed,middle_east,1,0.83,0
paid_ads,education,1,54634,student,,4,0.03,0
social_media,retail,1,67797,student,australia,3,0.12,0
organic_search,finance,1,58388,employed,,4,0.89,1
social_media,manufacturing,1,68235,student,australia,3,0.28,0
events,,0,78678,unemployed,africa,3,0.6,0
organic_search,technology,1,52091,employed,middle_east,2,0.13,0
social_media,technology,3,58949,student,australia,3,0.1,1
social_media,other,1,,student,middle_east,3,0.58,1
events,healthcare,5,57425,unemployed,australia,6,0.6,1
referral,manufacturing,3,86024,self_employed,south_america,2,0.48,1
referral,retail,3,68130,employed,europe,3,0.92,1
social_media,retail,3,64969,employed,north_america,1,0.18,0
events,education,5,68083,student,africa,4,0.41,1
events,,1,65094,self_employed,asia,1,0.3,0
referral,,0,55449,student,australia,4,0.47,0
organic_search,other,1,53930,employed,middle_east,1,0.78,0
referral,finance,4,69904,unemployed,australia,7,0.34,1
organic_search,other,4,50670,,europe,4,0.92,1
social_media,retail,2,83971,self_employed,north_america,2,0.91,1
events,healthcare,2,55265,student,australia,5,0.83,1
social_media,retail,1,60268,self_employed,europe,2,0.1,0
social_media,retail,4,53688,self_employed,asia,7,0.46,1
social_media,technology,2,64299,student,europe,2,0.27,1
referral,manufacturing,2,66206,employed,australia,3,0.3,1
organic_search,other,0,58861,self_employed,asia,9,0.54,1
referral,other,5,56214,student,asia,1,0.55,1
organic_search,retail,0,55194,employed,middle_east,4,0.24,0
organic_search,technology,2,47325,student,asia,3,0.4,1
social_media,retail,3,80035,self_employed,australia,3,0.86,1
organic_search,technology,1,74166,employed,south_america,2,0.01,0
paid_ads,finance,4,55185,,middle_east,2,0.68,1
referral,manufacturing,2,42185,,middle_east,3,0.25,1
organic_search,healthcare,4,77325,employed,asia,0,0.7,1
events,education,1,44838,employed,europe,1,0.46,0
events,retail,0,64775,self_employed,south_america,3,0.7,1
social_media,technology,1,96874,student,australia,1,0.32,0
paid_ads,education,3,,unemployed,africa,3,0.31,1
referral,healthcare,0,70164,employed,asia,4,0.35,0
paid_ads,other,3,73063,unemployed,africa,3,0.71,0
referral,technology,3,45569,student,europe,3,0.57,1
organic_search,other,2,109899,student,south_america,1,0.41,0
organic_search,finance,1,36971,self_employed,africa,3,0.85,1
events,manufacturing,2,88979,unemployed,south_america,4,0.14,1
social_media,healthcare,0,50149,student,south_america,2,0.19,0
events,other,1,36116,unemployed,,6,0.24,0
paid_ads,retail,4,62802,unemployed,europe,3,0.56,1
events,manufacturing,1,59292,student,europe,1,0.81,0
referral,retail,1,47642,self_employed,middle_east,2,0.06,0
social_media,finance,0,80187,self_employed,europe,1,0.68,0
,manufacturing,0,26079,employed,middle_east,2,0.2,0
,finance,3,86244,self_employed,africa,2,0.13,0
referral,manufacturing,3,62478,self_employed,africa,2,0.49,1
referral,finance,1,61705,unemployed,south_america,4,0.65,1
events,other,1,71381,student,australia,3,0.82,0
paid_ads,retail,1,54211,employed,europe,0,0.12,0
events,manufacturing,1,85758,self_employed,europe,1,0.3,0
events,healthcare,1,50753,unemployed,asia,2,0.02,0
events,education,0,49003,self_employed,south_america,5,0.32,0
paid_ads,finance,3,73148,unemployed,africa,2,0.48,0
paid_ads,technology,1,54332,,,6,0.6,1
social_media,technology,3,,self_employed,middle_east,4,0.18,1
paid_ads,healthcare,1,75843,student,australia,2,0.41,0
referral,manufacturing,2,69828,self_employed,north_america,3,0.89,1
,education,0,87987,self_employed,north_america,1,0.11,1
organic_search,retail,5,,student,north_america,1,0.62,1
organic_search,finance,2,64390,employed,,3,0.87,1
organic_search,retail,6,47717,self_employed,south_america,4,0.5,1
events,education,1,68118,student,north_america,7,0.87,1
,manufacturing,2,61242,unemployed,asia,5,0.0,0
social_media,education,2,66130,,australia,5,0.92,1
social_media,finance,5,73289,student,asia,6,0.98,1
social_media,other,3,68122,self_employed,asia,4,0.26,1
events,manufacturing,2,95543,unemployed,europe,3,0.78,0
organic_search,manufacturing,3,71738,student,middle_east,6,0.77,1
,manufacturing,2,,student,middle_east,7,0.82,1
,,4,49371,unemployed,europe,3,0.26,0
social_media,,0,26438,self_employed,,1,0.98,0
organic_search,education,3,74449,student,europe,3,0.07,1
social_media,other,0,65576,unemployed,asia,2,0.45,0
organic_search,manufacturing,1,59357,student,south_america,7,0.59,1
referral,other,0,53502,unemployed,south_america,1,0.96,0
events,education,1,52343,self_employed,,4,0.67,1
events,other,3,52531,employed,asia,0,0.15,1
organic_search,retail,4,86053,self_employed,south_america,1,0.17,1
referral,healthcare,0,48902,student,south_america,4,0.36,1
paid_ads,technology,0,51683,self_employed,asia,4,0.36,0
social_media,other,2,35238,self_employed,north_america,5,0.41,1
events,manufacturing,0,57134,self_employed,north_america,4,0.13,0
organic_search,retail,3,79831,self_employed,middle_east,5,0.85,1
events,other,2,51884,unemployed,africa,4,0.8,1
events,manufacturing,3,,unemployed,south_america,2,0.96,1
social_media,manufacturing,3,52063,unemployed,,4,0.05,1
paid_ads,manufacturing,2,50518,unemployed,africa,4,0.93,1
referral,finance,0,,student,africa,7,0.31,1
social_media,technology,0,66613,,asia,3,0.43,0
paid_ads,retail,2,61710,self_employed,asia,2,0.31,0
referral,manufacturing,4,68335,student,europe,1,0.07,1
paid_ads,healthcare,3,,student,south_america,8,0.8,1
paid_ads,technology,0,45316,unemployed,australia,1,0.04,0
events,technology,2,62123,self_employed,europe,3,0.49,0
events,education,1,64228,unemployed,africa,2,0.42,0
paid_ads,other,3,62845,self_employed,asia,1,0.51,0
referral,education,4,52279,self_employed,north_america,3,0.96,1
referral,retail,4,,unemployed,north_america,3,0.78,1
social_media,finance,2,59669,unemployed,africa,4,0.59,1
events,technology,6,83392,employed,australia,3,0.35,1
social_media,healthcare,3,,unemployed,europe,1,0.72,0
referral,other,5,45053,student,asia,5,0.07,1
organic_search,technology,3,68183,employed,africa,8,0.98,1
referral,healthcare,2,71459,self_employed,south_america,4,0.68,1
organic_search,manufacturing,0,60851,unemployed,north_america,3,0.38,0
paid_ads,other,3,,student,australia,4,0.16,1
social_media,,7,87437,self_employed,south_america,6,0.61,1
,education,0,,unemployed,asia,5,0.97,1
referral,other,0,,unemployed,australia,2,0.65,0
,,2,58759,unemployed,,6,0.91,1
,technology,2,,employed,australia,0,0.33,0
organic_search,manufacturing,1,,unemployed,africa,3,0.91,0
referral,other,4,22495,self_employed,australia,4,0.41,1
paid_ads,finance,2,58803,unemployed,europe,4,0.27,0
paid_ads,manufacturing,0,,employed,asia,3,0.84,0
,manufacturing,2,47243,self_employed,asia,2,0.41,1
organic_search,healthcare,2,43787,self_employed,south_america,4,0.36,1
paid_ads,retail,1,68616,self_employed,north_america,7,0.32,1
social_media,manufacturing,2,43325,student,africa,4,0.3,1
organic_search,finance,2,49140,,south_america,5,0.57,1
referral,retail,3,54687,self_employed,australia,0,0.99,1
paid_ads,retail,0,42537,unemployed,australia,5,0.27,0
